ID	Description
M00434	KEGG|Functional set|Environmental information processing|Two-component regulatory system|PhoR-PhoB (phosphate starvation response) two-component regulatory system
M00079	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycosaminoglycan metabolism|Keratan sulfate degradation
M00021	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cysteine and methionine metabolism|Cysteine biosynthesis, serine to cysteine
M00072	KEGG|Structural complex|Carbohydrate and lipid metabolism|Glycan metabolism|Oligosaccharyltransferase
M00225	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Lysine/arginine/ornithine transport system
M00562	KEGG|Pathway module|Energy metabolism|Methane metabolism|Methanogenesis, dimethylamine to methane
M00402	KEGG|Structural complex|Genetic information processing|Protein processing|Translocon-associated protein (TRAP) complex
M00116	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|Menaquinone biosynthesis, chorismate to menaquinone
M00101	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sterol biosynthesis|Cholesterol biosynthesis, squalene 2,3-epoxide to cholesterol
M00158	KEGG|Structural complex|Energy metabolism|ATP synthesis|F-type ATPase, eukaryotes
M00245	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Cobalt transport system
M00194	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Maltose/maltodextrin transport system
M00389	KEGG|Structural complex|Genetic information processing|Ubiquitin system|APC/C complex
M00276	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, mannose-specific II component
M00330	KEGG|Structural complex|Environmental information processing|Bacterial secretion system|Adhesin protein transport system
M00457	KEGG|Functional set|Environmental information processing|Two-component regulatory system|TctE-TctD (tricarboxylic acid transport) two-component regulatory system
M00318	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Iron/zinc/copper transport system
M00006	KEGG|Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|Pentose phosphate pathway, oxidative phase, glucose 6P to ribulose 5P
M00489	KEGG|Functional set|Environmental information processing|Two-component regulatory system|DctS-DctR (C4-dicarboxylate transport) two-component regulatory system
M00255	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|Lipoprotein-releasing system
M00466	KEGG|Functional set|Environmental information processing|Two-component regulatory system|NblS-NblR (photosynthesis) two-component regulatory system
M00237	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Branched-chain amino acid transport system
M00542	KEGG|Signature module|Genotypic signature|Pathogenicity|EHEC/EPEC pathogenicity signature, T3SS and effectors
M00393	KEGG|Structural complex|Genetic information processing|RNA processing|TRAMP complex
M00162	KEGG|Structural complex|Energy metabolism|Photosynthesis|Cytochrome b6f complex
M00207	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Putative multiple sugar transport system
M00266	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, maltose and glucose-specific II component
M00313	KEGG|Structural complex|Carbohydrate and lipid metabolism|Carbohydrate metabolism|indolepyruvate:ferredoxin oxidoreductase
M00524	KEGG|Functional set|Environmental information processing|Two-component regulatory system|FixL-FixJ (nitrogen fixation) two-component regulatory system
M00022	KEGG|Pathway module|Nucleotide and amino acid metabolism|Aromatic amino acid metabolism|Shikimate pathway, phosphoenolpyruvate + erythrose-4P to chorismate
M00445	KEGG|Functional set|Environmental information processing|Two-component regulatory system|EnvZ-OmpR (osmotic stress response) two-component regulatory system
M00234	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Cystine transport system
M00222	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Phosphate transport system
M00480	KEGG|Functional set|Environmental information processing|Two-component regulatory system|VraS-VraR (cell-wall peptidoglycan synthesis) two-component regulatory system
M00103	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sterol biosynthesis|Cholecalciferol biosynthesis
M00338	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cysteine and methionine metabolism|Cysteine biosynthesis, homocysteine + serine to cysteine
M00046	KEGG|Pathway module|Nucleotide and amino acid metabolism|Pyrimidine metabolism|Pyrimidine degradation, uracil to beta-alanine, thymine to 3-aminoisobutanoate
M00376	KEGG|Pathway module|Energy metabolism|Carbon fixation|3-Hydroxypropionate bicycle
M00119	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|Pantothenate biosynthesis, valine/L-aspartate to pantothenate
M00092	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Phosphatidylethanolamine (PE) biosynthesis, ethanolamine to PE
M00281	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, lactose-specific II component
M00448	KEGG|Functional set|Environmental information processing|Two-component regulatory system|CssS-CssR (secretion stress response) two-component regulatory system
M00204	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Trehalose/maltose transport system
M00267	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, N-acetylglucosamine-specific II component
M00024	KEGG|Pathway module|Nucleotide and amino acid metabolism|Aromatic amino acid metabolism|Phenylalanine biosynthesis, chorismate to phenylalanine
M00351	KEGG|Structural complex|Genetic information processing|Spliceosome|Spliceosome, U1-snRNP
M00304	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, fructose-specific II component
M00137	KEGG|Pathway module|Nucleotide and amino acid metabolism|Phenylpropanoid and flavonoid biosynthesis|Flavonoid biosynthesis, 4-coumaroyl-CoA to naringenin to apigenin
M00380	KEGG|Structural complex|Genetic information processing|Ubiquitin system|SCF-BTRC complex
M00404	KEGG|Structural complex|Genetic information processing|Protein processing|COPII complex
M00418	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Toluene degradation, anaerobic, toluene to benzoyl-CoA
M00296	KEGG|Structural complex|Genetic information processing|Repair system|BER complex
M00345	KEGG|Pathway module|Energy metabolism|Methane metabolism|Formaldehyde assimilation, ribulose monophosphate pathway
M00036	KEGG|Pathway module|Nucleotide and amino acid metabolism|Branched-chain amino acid metabolism|Leucine degradation, leucine to acetoacetate + acetyl-CoA
M00167	KEGG|Pathway module|Energy metabolism|Carbon fixation|Reductive pentose phosphate cycle, glyceraldehyde-3P to RuBP
M00174	KEGG|Pathway module|Energy metabolism|Methane metabolism|Methane oxidation, methylotroph, methane to CO2
M00401	KEGG|Structural complex|Genetic information processing|Protein processing|Sec61 complex
M00009	KEGG|Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|Citrate cycle (TCA cycle, Krebs cycle)
M00508	KEGG|Functional set|Environmental information processing|Two-component regulatory system|PixL-PixGH (positive phototaxis) two-component regulatory system
M00356	KEGG|Pathway module|Energy metabolism|Methane metabolism|Methanogenesis, methanol to methane
M00151	KEGG|Structural complex|Energy metabolism|ATP synthesis|Cytochrome bc1 complex respiratory unit
M00570	KEGG|Pathway module|Nucleotide and amino acid metabolism|Branched-chain amino acid metabolism|Isoleucine biosynthesis, threonine to 2-oxobutanoate to isoleucine
PID	0
M00566	KEGG|Structural complex|Environmental information processing|Peptide and nickel transport system|Dipeptide transport system, Firmicutes
M00154	KEGG|Structural complex|Energy metabolism|ATP synthesis|Cytochrome c oxidase
M00526	KEGG|Pathway module|Nucleotide and amino acid metabolism|Lysine metabolism|Lysine biosynthesis, DAP dehydrogenase pathway, aspartate to lysine
M00534	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Naphthalene degradataion, naphthalene to salicylate
M00093	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Phosphatidylethanolamine (PE) biosynthesis, PA to PS to PE
M00063	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipopolysaccharide metabolism|CMP-KDO biosynthesis
M00417	KEGG|Structural complex|Energy metabolism|ATP synthesis|Cytochrome o ubiquinol oxidase
M00541	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Benzoyl-CoA degradation, benzoyl-CoA to 3-hydroxypimeloyl-CoA
M00235	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Arginine/ornithine transport system
M00028	KEGG|Pathway module|Nucleotide and amino acid metabolism|Arginine and proline metabolism|Ornithine biosynthesis, glutamate to ornithine
M00451	KEGG|Functional set|Environmental information processing|Two-component regulatory system|BasS-BasR (antimicrobial peptide resistance) two-component regulatory system
M00432	KEGG|Pathway module|Nucleotide and amino acid metabolism|Branched-chain amino acid metabolism|Leucine biosynthesis, 2-oxoisovalerate to 2-oxoisocaproate
M00470	KEGG|Functional set|Environmental information processing|Two-component regulatory system|YxdK-YxdJ (antimicrobial peptide response) two-component regulatory system
M00205	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|N-Acetylglucosamine transport system
M00289	KEGG|Structural complex|Genetic information processing|Replication system|RF-C complex
M00477	KEGG|Functional set|Environmental information processing|Two-component regulatory system|EvgS-EvgA (acid and drug tolerance) two-component regulatory system
M00458	KEGG|Functional set|Environmental information processing|Two-component regulatory system|ResE-ResD (aerobic and anaerobic respiration) two-component regulatory system
M00350	KEGG|Pathway module|Nucleotide and amino acid metabolism|Aromatic amino acid metabolism|Capsaicin biosynthesis, L-Phenylalanine to Capsaicin
M00503	KEGG|Functional set|Environmental information processing|Two-component regulatory system|PgtB-PgtA (phosphoglycerate transport) two-component regulatory system
M00407	KEGG|Structural complex|Genetic information processing|Ubiquitin system|SCF-CDC4 complex
M00392	KEGG|Structural complex|Genetic information processing|RNA processing|Ski complex
M00319	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Manganese/zinc/iron transport system
M00129	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|Ascorbate biosynthesis, animals, glucose-1P to ascorbate
M00040	KEGG|Pathway module|Nucleotide and amino acid metabolism|Aromatic amino acid metabolism|Tyrosine biosynthesis, prephanate to pretyrosine to tyrosine
M00077	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycosaminoglycan metabolism|Chondroitin sulfate degradation
M00538	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Toluene degradation, toluene to benzoate
M00342	KEGG|Structural complex|Genetic information processing|Proteasome|Bacterial proteasome
M00529	KEGG|Pathway module|Energy metabolism|Nitrogen metabolism|Denitrification, nitrate to nitrogen
M00179	KEGG|Structural complex|Genetic information processing|Ribosome|Ribosome, archaea
M00558	KEGG|Signature module|Genotypic signature|Metabolic capacity|Methane oxidation by pMMO
M00490	KEGG|Functional set|Environmental information processing|Two-component regulatory system|MalK-MalR (malate transport) two-component regulatory system
M00485	KEGG|Functional set|Environmental information processing|Two-component regulatory system|KinABCDE-Spo0FA (sporulation control) two-component regulatory system
M00206	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Cellobiose transport system
M00013	KEGG|Pathway module|Carbohydrate and lipid metabolism|Other carbohydrate metabolism|Malonate semialdehyde pathway, propanoyl-CoA to Acetyl-CoA
M00168	KEGG|Pathway module|Energy metabolism|Carbon fixation|CAM (Crassulacean acid metabolism), dark
M00108	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sterol biosynthesis|C21-Steroid hormone biosynthesis, progesterone to corticosterone/aldosterone
M00197	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Putative fructooligosaccharide transport system
M00089	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Triacylglycerol biosynthesis
M00124	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|Pyridoxal biosynthesis, erythrose-4P to pyridoxal-5P
M00339	KEGG|Structural complex|Environmental information processing|Bacterial secretion system|RaxAB-RaxC type I secretion system
M00447	KEGG|Functional set|Environmental information processing|Two-component regulatory system|CpxA-CpxR (envelope stress response) two-component regulatory system
M00030	KEGG|Pathway module|Nucleotide and amino acid metabolism|Lysine metabolism|Lysine biosynthesis, 2-oxoglutarate to 2-aminoadipate to lysine
M00302	KEGG|Structural complex|Environmental information processing|Mineral and organic ion transport system|2-Aminoethylphosphonate transport system
M00150	KEGG|Structural complex|Energy metabolism|ATP synthesis|Fumarate reductase, prokaryotes
M00130	KEGG|Pathway module|Carbohydrate and lipid metabolism|Lipid metabolism|Inositol phosphate metabolism, PIto PIP2 to Ins(1,4,5)P3 to Ins(1,3,4,5)P4
M00316	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Manganese transport system
M00138	KEGG|Pathway module|Nucleotide and amino acid metabolism|Phenylpropanoid and flavonoid biosynthesis|Flavonoid biosynthesis, naringenin to pelargonidin
M00309	KEGG|Pathway module|Carbohydrate and lipid metabolism|Central carbohydrate metabolism|Non-phosphorylative Entner-Doudoroff pathway, gluconate to glyceraldehyde + pyruvate
M00097	KEGG|Pathway module|Carbohydrate and lipid metabolism|Other terpenoid biosynthesis|beta-Carotene biosynthesis, GGAP to beta-carotene
M00537	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Xylene degradation, xylene to methylbenzoate
M00189	KEGG|Structural complex|Environmental information processing|Mineral and organic ion transport system|Molybdate transport system
M00340	KEGG|Structural complex|Genetic information processing|Proteasome|Proteasome, 20S core particle
M00381	KEGG|Structural complex|Genetic information processing|Ubiquitin system|SCF-SKP2 complex
M00551	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Benzoate degradation, benzoate to catechol / methylbenzoate to methylcatechol
M00531	KEGG|Pathway module|Energy metabolism|Nitrogen metabolism|Assimilatory nitrate reduction, nitrate to ammonia
M00460	KEGG|Functional set|Environmental information processing|Two-component regulatory system|MprB-MprA (maintenance of persistent infection) two-component regulatory system
M00512	KEGG|Functional set|Environmental information processing|Two-component regulatory system|CckA-CtrA/CpdR (cell cycle control) two-component regulatory system
M00468	KEGG|Functional set|Environmental information processing|Two-component regulatory system|SaeS-SaeR (staphylococcal virulence regulation) two-component regulatory system
M00212	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Ribose transport system
M00057	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycosaminoglycan metabolism|Glycosaminoglycan biosynthesis, linkage tetrasaccharide
M00274	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, mannitol-specific II component
M00071	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycan metabolism|Glycosphingolipid biosynthesis, neolacto-series, LacCer to nLc4Cer
M00039	KEGG|Pathway module|Nucleotide and amino acid metabolism|Phenylpropanoid and flavonoid biosynthesis|Lignin biosynthesis, cinnamate to lignin
M00324	KEGG|Structural complex|Environmental information processing|Peptide and nickel transport system|Dipeptide transport system
M00336	KEGG|Structural complex|Environmental information processing|Bacterial secretion system|Twin-arginine translocation (Tat) system
M00297	KEGG|Structural complex|Genetic information processing|Repair system|DNA-PK complex
M00242	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Zinc transport system
M00081	KEGG|Pathway module|Carbohydrate and lipid metabolism|Other carbohydrate metabolism|Pectin degradation
M00530	KEGG|Pathway module|Energy metabolism|Nitrogen metabolism|Dissimilatory nitrate reduction, nitrate to ammonia
M00395	KEGG|Structural complex|Genetic information processing|RNA processing|Decapping complex
M00277	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, N-acetylgalactosamine-specific II component
M00282	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, D-glucosamine-specific II component
M00020	KEGG|Pathway module|Nucleotide and amino acid metabolism|Serine and threonine metabolism|Serine biosynthesis, glycerate-3P to serine
M00540	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Benzoate degradation, cyclohexanecarboxylic acid topimeloyl-CoA
M00224	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Putative phosphonate transport system
M00371	KEGG|Pathway module|Carbohydrate and lipid metabolism|Other terpenoid biosynthesis|Castasterone biosynthesis, campesterol to castasterone
M00256	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|Cell division transport system
M00015	KEGG|Pathway module|Nucleotide and amino acid metabolism|Arginine and proline metabolism|Proline biosynthesis, glutamate to proline
M00298	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|Multidrug/hemolysin transport system
M00482	KEGG|Functional set|Environmental information processing|Two-component regulatory system|DevS-DevR (redox response) two-component regulatory system
M00467	KEGG|Functional set|Environmental information processing|Two-component regulatory system|SasA-RpaAB (circadian timing mediating) two-component regulatory system
M00232	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|General L-amino acid transport system
M00029	KEGG|Pathway module|Nucleotide and amino acid metabolism|Arginine and proline metabolism|Urea cycle
M00056	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycan metabolism|O-glycan biosynthesis, mucin type core
M00416	KEGG|Structural complex|Energy metabolism|ATP synthesis|Cytochrome aa3-600 menaquinol oxidase
M00557	KEGG|Signature module|Genotypic signature|Metabolic capacity|Methanogenesis
M00406	KEGG|Structural complex|Genetic information processing|RNA processing|TREX complex
M00114	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|Ascorbate biosynthesis, plants, glucose-6P to ascorbate
M00146	KEGG|Structural complex|Energy metabolism|ATP synthesis|NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
M00343	KEGG|Structural complex|Genetic information processing|Proteasome|Archaeal proteasome
M00201	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|alpha-Glucoside transport system
M00493	KEGG|Functional set|Environmental information processing|Two-component regulatory system|AlgZ-AlgR (alginate production) two-component regulatory system
M00440	KEGG|Structural complex|Environmental information processing|Peptide and nickel transport system|Nickel transport system
M00257	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|Hemin transport system
M00471	KEGG|Functional set|Environmental information processing|Two-component regulatory system|NarX-NarL (nitrate respiration) two-component regulatory system
M00196	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Multiple sugar transport system
M00560	KEGG|Signature module|Genotypic signature|Metabolic capacity|Ammonia oxidation
M00140	KEGG|Pathway module|Nucleotide and amino acid metabolism|Cofactor and vitamin biosynthesis|C1-unit interconversion, prokaryotes
M00394	KEGG|Structural complex|Genetic information processing|RNA processing|RNA degradosome
M00569	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Catechol meta-cleavage, catechol to pyruvate + acetaldehyde
M00337	KEGG|Structural complex|Genetic information processing|Proteasome|Immunoproteasome
M00258	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|Putative ABC transport system
M00076	KEGG|Pathway module|Carbohydrate and lipid metabolism|Glycosaminoglycan metabolism|Dermatan sulfate degradation
M00427	KEGG|Structural complex|Genetic information processing|RNA processing|Nuclear pore complex
M00366	KEGG|Pathway module|Carbohydrate and lipid metabolism|Terpenoid backbone biosynthesis|C10-C20 isoprenoid biosynthesis, plants
M00200	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Putative sorbitol/mannitol transport system
M00261	KEGG|Structural complex|Genetic information processing|DNA polymerase|DNA polymerase alpha / primase complex
M00539	KEGG|Pathway module|Secondary metabolism|Aromatics degradataion|Cumate degradation, p-cumate to 2-oxopent-4-enoate + 2-methylpropanoate
M00110	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sterol biosynthesis|C19/C18-Steroid hormone biosynthesis, pregnenolone to androstenedione to estrone
M00243	KEGG|Structural complex|Environmental information processing|Metallic cation, iron-siderophore and vitamin B12 transport system|Manganese/iron transport system
M00365	KEGG|Pathway module|Carbohydrate and lipid metabolism|Terpenoid backbone biosynthesis|C10-C20 isoprenoid biosynthesis, archaea
M00517	KEGG|Functional set|Environmental information processing|Two-component regulatory system|RpfC-RpfG (cell-to-cell signaling) two-component regulatory system
M00301	KEGG|Structural complex|Environmental information processing|Mineral and organic ion transport system|Mannopine transport system
M00214	KEGG|Structural complex|Environmental information processing|Saccharide and polyol transport system|Methyl-galactoside transport system
M00102	KEGG|Pathway module|Carbohydrate and lipid metabolism|Sterol biosynthesis|Ergocalciferol biosynthesis
M00269	KEGG|Structural complex|Environmental information processing|Phosphotransferase system (PTS)|PTS system, sucrose-specific II component
M00227	KEGG|Structural complex|Environmental information processing|Phosphate and amino acid transport system|Glutamine transport system
M00250	KEGG|Structural complex|Environmental information processing|ABC-2 type and other transport systems|Lipopolysaccharide transport system
M00325	KEGG|Structural complex|Environmental information processing|Bacterial secretion system|alpha-Hemolysin/cyclolysin transport system
